dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,session_train,session_test
BNCI2014-001,1,riemann_lr,clean,all_channels,1,0.0,0,22,0,0.9827586206896552,0.990487514863258,0.04976777819538532,0.15548098223480092,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.1,0,22,2,0.5,0.9583828775267539,0.49911804277991934,0.4995123268710647,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.1,1,22,2,0.5689655172413793,0.9441141498216409,0.2507844082103759,0.3130139843929078,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.1,2,22,2,0.5344827586206896,0.9833531510107016,0.3514595811086048,0.4071192618012648,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.1,3,22,2,0.5517241379310345,0.9892984542211654,0.3213431659433312,0.3821214598464972,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.1,4,22,2,0.5,0.9892984542211652,0.47514533242530693,0.4864968119978871,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.1,5,22,2,0.8448275862068966,0.9774078478002378,0.09956886125189056,0.20209821301315956,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.1,6,22,2,0.6724137931034483,0.9678953626634959,0.17323502891894565,0.23338375124777172,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.1,7,22,2,0.5,0.9619500594530321,0.4103345603560772,0.4456040547307576,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.1,8,22,2,0.8275862068965517,0.990487514863258,0.1212516378461581,0.2092883467772348,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.1,9,22,2,0.7413793103448276,0.9833531510107015,0.16546065836612345,0.22778487976334572,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.2,0,22,4,0.9137931034482758,0.9833531510107015,0.07233115663585964,0.17326959343690182,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.2,1,22,4,0.5,0.9595719381688467,0.3228357759670014,0.3811848008888261,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.2,2,22,4,0.7241379310344828,0.9476813317479191,0.1525025363045259,0.1968341965453482,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.2,3,22,4,0.5,0.9667063020214032,0.35885391629616664,0.4079459531058884,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.2,4,22,4,0.5,0.901307966706302,0.4998549961865057,0.499912301809845,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.2,5,22,4,0.5,0.9678953626634959,0.3619304335389979,0.41253029114813167,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.2,6,22,4,0.8793103448275863,0.9571938168846611,0.12038136781129714,0.19065911858724355,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.2,7,22,4,0.8620689655172413,0.9476813317479191,0.11299819618529348,0.14934828830199662,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.2,8,22,4,0.896551724137931,0.9476813317479191,0.11335959171795171,0.17651699959995615,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.2,9,22,4,0.5,0.9595719381688466,0.49892643759331606,0.49939233395678406,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.3,0,22,7,0.5,0.9524375743162901,0.4287427289410484,0.45251372875714657,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.3,1,22,7,0.5,0.8537455410225921,0.49997880602700434,0.4999843655373918,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.3,2,22,7,0.5,0.976218787158145,0.4986463568725891,0.4991751255802822,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.3,3,22,7,0.5689655172413793,0.9322235434007135,0.22670500268666932,0.29849741237745836,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.3,4,22,7,0.5,0.8787158145065398,0.49396392122799027,0.4956516776269394,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.3,5,22,7,0.4827586206896552,0.8668252080856124,0.33482201812645507,0.3717814916632015,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.3,6,22,7,0.5,0.9441141498216409,0.4992241155712809,0.49946493830539374,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.3,7,22,7,0.5,0.8763376932223544,0.41378979202884664,0.4441681355345056,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.3,8,22,7,0.5172413793103449,0.9417360285374554,0.30128796754907783,0.3508756921653409,,,
